TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-454.112,-163.32,-166.549,-138.971,-109.621,-76.8039,-39.9885,-13.121,2.11143,8.11213,3.79158,-13.0909,-38.2926,-65.1538,-98.7355,-119.299,-140.221,-158.289,-156.488,-146.995,-125.863
0.010666667,-413.721,-193.616,-159.118,-128.926,-108.82,-70.1676,-43.96,-10.0384,0.737827,3.14593,-4.61591,-15.5524,-43.1921,-68.1023,-93.3151,-121.43,-142.651,-154.837,-156.11,-145.591,-126.457
0.021333333,-387.07,-185.119,-169.533,-135.849,-109.543,-70.497,-43.2698,-10.3058,0.973911,3.90365,-9.0606,-16.3723,-37.2149,-62.9089,-90.0343,-125.231,-146.065,-157.881,-160.253,-146.2,-128.225
0.032000000,-388.33,-179.608,-171.252,-136.667,-108.25,-70.6036,-43.2409,-9.79878,1.06752,2.5532,-6.557,-18.0109,-37.1548,-60.2384,-94.2359,-127.576,-148.723,-159.43,-157.896,-143.519,-127.87
0.042666667,-389.871,-175.402,-167.58,-133.572,-106.788,-69.7276,-46.5844,-14.8153,0.508229,2.42961,-8.55958,-18.3255,-36.0995,-61.2848,-93.9574,-126.524,-149.047,-160.891,-159.411,-146.53,-127.733
0.053333333,-389.191,-173.988,-170.651,-133.064,-106.185,-72.2224,-44.764,-10.4326,3.01792,2.59241,-8.83322,-19.9849,-38.0626,-62.0726,-96.1084,-128.49,-145.039,-158.95,-158.608,-146.887,-128.743
0.064000000,-391.225,-175.338,-170.934,-137.923,-108.115,-70.2546,-46.7316,-13.6805,3.44006,4.71298,-11.1309,-20.5822,-37.4093,-64.9964,-96.9147,-122.822,-143.296,-159.648,-158.577,-144.145,-129.134
0.074666667,-401.699,-175.117,-168.432,-134.487,-105.974,-68.8468,-44.9628,-10.4189,5.8897,4.76959,-9.4146,-23.8545,-39.0356,-63.7093,-92.276,-124.37,-145.516,-157.021,-159.434,-143.031,-130.903
0.085333333,-401.248,-177.137,-167.207,-136.25,-108.766,-68.9715,-43.7087,-10.6183,4.45401,3.41704,-7.1711,-20.419,-38.4963,-63.727,-95.5767,-124.169,-145.241,-156.622,-156.647,-142.697,-129.855
0.096000000,-404.689,-178.496,-169.501,-137.435,-107.423,-70.4629,-46.2147,-13.4538,1.93534,4.54635,-9.50181,-20.2537,-37.8267,-64.5383,-96.066,-125.5,-142.919,-154.007,-155.753,-143.116,-129.046
0.106666667,-411.174,-181.073,-169.528,-133.943,-107.294,-70.6106,-44.6233,-9.14078,4.6994,3.58875,-9.81484,-19.568,-39.0932,-64.3447,-96.6012,-123.467,-141.411,-158.52,-154.41,-144.848,-126.919
0.117333333,-422.794,-191.11,-172.049,-134.357,-106.598,-69.147,-41.2905,-8.75859,2.82374,4.69522,-7.80226,-16.2923,-37.3347,-62.467,-89.8693,-121.269,-140.765,-154.46,-155.84,-141.982,-127.557
0.128000000,-421.462,-190.082,-169.063,-133.31,-108.782,-73.0305,-42.0632,-7.99612,2.70955,5.50687,-8.37694,-18.1394,-37.2525,-63.3435,-92.5382,-122.271,-141.71,-153.187,-154.799,-141.659,-125.149
0.138666667,-420.354,-191.062,-171.778,-129.817,-107.425,-72.0252,-44.1521,-12.1343,3.41454,5.26319,-3.06311,-16.3455,-36.195,-61.85,-92.3535,-122.782,-141.075,-155.375,-155.913,-139.369,-122.955
0.149333333,-431.697,-196.867,-169.902,-128.788,-103.832,-68.7076,-42.8431,-10.6522,1.04894,3.70865,-4.439,-19.8386,-41.9913,-64.2274,-92.3203,-119.334,-138.988,-154.895,-154.742,-141.105,-126.05
0.160000000,-434.397,-198.747,-165.579,-123.844,-103.148,-69.5956,-41.4493,-9.43654,1.39071,1.63192,-6.04721,-15.5335,-37.4729,-61.9584,-92.8225,-122.419,-140.362,-155.693,-157.488,-143.287,-126.106
0.170666667,-431.169,-194.038,-167.985,-129.418,-105.964,-70.1645,-40.9138,-10.3425,0.158801,3.46167,-2.4699,-16.1714,-39.9327,-63.0051,-92.1746,-122.547,-141.428,-153.963,-156.517,-142.369,-124.543
0.181333333,-439.143,-200.354,-165.777,-123.882,-103.956,-72.5316,-43.7852,-11.5314,0.257946,7.81279,0.575077,-16.12,-41.648,-64.2187,-89.9865,-119.609,-143.308,-157.824,-155.77,-139.979,-123.376
0.192000000,-438.899,-199.059,-168.524,-129.567,-105.806,-68.9152,-43.9546,-12.79,-1.06552,4.13198,-1.15572,-11.4247,-37.5852,-61.3181,-90.0296,-122.382,-141.398,-153.991,-154.392,-142.789,-123.167
0.202666667,-441.073,-199.264,-166.745,-125.2,-101.594,-67.5338,-42.4075,-11.2305,3.29166,8.75184,-3.26366,-15.5032,-38.7867,-66.4799,-93.7384,-123.464,-142.007,-153.618,-155.415,-144.063,-125.121
0.213333333,-442.848,-199.916,-168.041,-128.068,-102.015,-64.6397,-43.5874,-15.8501,-1.5358,8.37091,-2.64799,-12.7251,-38.6058,-66.7094,-91.4694,-121.348,-143.949,-155.543,-154.418,-141.427,-124.491
0.224000000,-445.686,-202.737,-169.733,-126.154,-99.7736,-63.4771,-43.8604,-14.5926,1.02539,5.69231,0.0840872,-14.8982,-38.7268,-62.2807,-91.052,-121.246,-141.87,-154.89,-155.66,-141.348,-123.817
0.234666667,-448.436,-204.812,-169.596,-124.118,-96.9531,-63.4667,-46.8445,-17.6354,-1.41579,7.10371,-0.432084,-9.64989,-34.5347,-63.0103,-89.2082,-118.769,-141.421,-157.527,-157.475,-143.033,-124.232
0.245333333,-441.261,-200.523,-171.881,-128.489,-97.9703,-63.1806,-44.264,-15.9422,-3.07323,5.31148,-3.17965,-10.4724,-32.904,-62.4137,-91.4242,-123.86,-142.806,-154.872,-156.278,-141.539,-122.811
0.256000000,-444.011,-202.314,-169.894,-126.604,-100.659,-66.0066,-44.6139,-12.6467,3.2795,7.26419,-0.737284,-12.9144,-37.8236,-66.2425,-95.2322,-121.346,-142.94,-156.629,-153.34,-141.412,-124.575
0.266666667,-440.372,-200.728,-171.881,-128.045,-98.8848,-65.1122,-44.3859,-14.2733,-0.534815,3.40339,-2.21879,-13.5869,-37.4599,-64.7678,-91.1306,-119.21,-139.525,-154.639,-153.949,-140.075,-127.456
0.277333333,-421.278,-208.619,-167.828,-125.363,-101.514,-64.5528,-42.8678,-13.5653,-0.168052,0.496707,-3.92524,-11.4375,-34.456,-63.6912,-91.8104,-124.902,-144.739,-156.529,-157.766,-142.291,-122.54
0.288000000,-430.857,-200.415,-161.993,-124.423,-104.284,-67.2489,-43.4664,-13.8846,-0.684502,5.15234,-1.48327,-14.293,-38.4426,-65.4759,-91.9792,-120.792,-144.564,-155.15,-154.984,-142.737,-127.557
0.298666667,-443.263,-201.68,-167.886,-128.785,-102.296,-68.4116,-47.3907,-13.3591,1.4729,2.96539,-2.17365,-11.1264,-34.9909,-60.0414,-90.4831,-120.335,-137.535,-151.332,-154.696,-141.018,-122.584
0.309333333,-457.446,-202.743,-159.701,-123.417,-101.393,-65.8559,-43.5838,-12.9068,2.25575,1.12266,-0.688647,-10.7427,-37.5943,-63.6002,-92.1422,-123.274,-144.099,-154.711,-154.836,-141.374,-124.41
0.320000000,-461.066,-205.741,-160.267,-124.444,-105.085,-70.8212,-46.1921,-11.6429,1.6261,4.47169,0.776189,-10.0654,-38.516,-65.0431,-92.555,-118.951,-138.189,-152.122,-153.959,-141.708,-123.388
0.330666667,-465.288,-207.822,-161.565,-124.109,-103.292,-68.0644,-44.3909,-11.5444,2.16294,6.76605,-0.6025,-9.75268,-37.573,-66.9668,-92.8754,-120.125,-138.642,-150.58,-153.764,-140.685,-122.031
0.341333333,-467.436,-208.318,-162.06,-126.165,-105.912,-68.3034,-44.1166,-10.3864,4.14064,4.53934,0.186755,-9.81007,-36.8831,-64.9199,-90.6716,-120.083,-140.303,-150.334,-151.393,-141.101,-123.992
