TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.746429,0.185944,0.577505,0.224969,0.0273818,0.0838456,3.51337,0.243324,0.105996,0.00983922,0.66913,0.32894
0.046439909,0.666365,0.172232,0.718766,0.162543,0.0247801,0.116181,3.35351,0.341792,0.235747,0.0292462,0.706922,0.477104
0.092879819,0.5652,0.175605,0.74627,0.113375,0.0253396,0.177926,3.21906,0.275944,0.295747,0.039541,0.678986,0.524797
0.139319728,0.459458,0.163913,0.765307,0.0416715,0.0280714,0.13403,3.0975,0.174135,0.324826,0.0236371,0.645754,0.564131
0.185759637,0.751758,0.179342,0.741838,0.0461817,0.0452198,0.219007,3.03979,0.0625855,0.275357,0.0417337,0.443011,0.469571
0.232199546,1.14704,0.327211,0.697299,0.498141,0.145369,0.128291,2.50803,0.111989,0.085438,0.0198497,0.638413,0.300504
0.278639456,1.0615,0.265828,0.59877,0.871913,0.279698,0.51827,1.52585,0.409441,0.124217,0.48192,0.995765,0.339474
0.325079365,1.04507,0.414248,0.747304,1.06987,0.398283,0.72008,0.774292,0.427591,0.139046,0.815937,1.18054,0.142096
0.371519274,0.852192,0.534212,0.761086,1.06939,0.615285,0.788122,0.796381,0.435939,0.185314,0.639498,0.976661,0.218189
0.417959184,0.0116115,0.283979,0.196053,1.2262,0.459677,0.131523,1.6422,0.596525,1.34414,0.638521,0.199844,0.343594
0.464399093,1.05109,0.348644,1.22665,0.608693,0.0637234,0.427194,1.44658,0.198669,0.775211,0.519814,0.0854066,0.486313
0.510839002,1.43303,0.189424,2.10694,0.289078,0.472627,0.0950744,0.801215,0.018237,0.575732,0.147762,0.103927,0.574603
0.557278912,1.22568,0.172138,2.61624,0.192658,0.512407,0.335076,0.658877,0.0142836,0.350823,0.153717,0,0.560908
0.603718821,1.09671,0.130965,2.6439,0.01944,0.480924,0.710137,0.544858,0.173615,0.252486,0.1881,0,0.564458
0.650158730,1.0667,0.10246,2.51917,0.0109186,0.569786,0.778886,0.618237,0.353424,0.223809,0.210355,0,0.668812
