TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-641.802,-25.0553,5.15079,-6.15106,2.02342,-4.18751,1.75166,-1.25808,-0.302015,0.759283,-0.0332686,0.0644728,-2.41804,-0.469411,-2.75172,-2.85075,-0.851831,-1.67949,0.874116,0.419939,-1.23577
0.023219955,-566.744,-30.6214,5.22731,-8.28107,2.06877,-3.31276,-0.776439,-0.456118,-1.72619,0.360905,-0.0577993,3.31081,-0.760354,0.856434,-0.427075,1.55631,-0.240259,1.69027,2.76727,0.60594,0.489462
0.046439909,-570.876,-33.7192,2.14818,-4.43955,2.59303,-1.28446,0.769236,1.16912,-0.205228,1.37049,-4.2506,-0.265975,-2.27458,1.41748,-3.34044,-0.319863,0.32721,0.907845,0.568833,-0.335987,-0.884122
0.069659864,-565.336,-30.8877,4.95074,-7.09257,0.586681,-4.09261,-2.27469,-1.44017,-2.46874,-1.30207,-2.12681,3.48773,-1.28451,-0.450075,-0.527058,3.79861,-0.147284,0.344082,0.536785,-0.670314,-3.34121
0.092879819,-555.075,-25.0647,6.56504,-7.70396,-0.843538,-5.56038,-3.72664,-1.60338,-6.03667,-0.880826,-3.94708,0.669106,-1.9822,3.35603,4.77161,5.407,2.21665,0.410848,-1.06667,-1.28394,-0.720568
0.116099773,-555.139,-24.4752,6.43495,-7.77134,0.850952,-4.5146,-3.93286,-2.12675,-3.48555,-0.121995,-2.08616,2.95917,1.36882,2.96255,0.934145,4.25586,0.503716,2.40729,-2.69724,-3.30799,-4.19232
0.139319728,-558.512,-26.5365,6.00886,-7.05167,-0.875999,-2.59645,-2.39215,-0.184561,-5.39691,-0.246794,-3.18262,2.51961,2.14846,5.69309,2.37896,2.43027,-1.19302,-0.565422,-2.04427,-5.39021,-5.20642
0.162539683,-558.165,-30.6917,3.08281,-9.90328,-0.0455619,-3.32747,-2.17536,-3.00489,-4.29244,0.616086,-2.26499,2.38634,1.98333,5.12946,4.50338,5.40293,1.89101,1.05181,-1.98635,-2.27497,-1.96335
0.185759637,-563.173,-30.4005,2.46927,-6.61154,1.75009,-4.29547,-2.45544,-1.08186,-5.47154,-1.56349,-1.6436,5.25435,0.0356863,3.97457,1.38418,1.46847,-0.25831,-0.0948166,-1.41917,0.531811,-1.18411
0.208979592,-570.742,-28.8746,5.86629,-4.53388,2.14552,-5.33661,-4.69457,-3.45128,-4.00327,1.74744,-5.76424,0.487886,0.620885,4.68721,0.980644,1.77718,0.687187,-0.434256,0.304298,-1.56433,-0.466823
0.232199546,-563.221,-28.0958,3.74786,-3.60119,0.826427,-3.60373,-0.744504,2.68771,-1.87397,0.479944,-0.412503,4.5421,0.260244,3.13069,0.731266,1.41231,0.417235,-0.147275,-3.19292,-2.2845,-2.17867
0.255419501,-565.566,-29.3115,6.01246,-5.56791,-1.42735,-3.48333,-2.62404,-0.690516,-7.74673,-0.392761,-4.36584,0.332485,-1.90138,1.77297,0.860035,2.12938,-0.532081,-0.608227,-1.33167,-0.886582,-2.1931
0.278639456,-563.676,-29.1077,3.97124,-5.73037,2.35033,-3.18332,-0.880359,1.33657,-3.50584,0.768919,-0.037956,5.89056,2.95357,5.32716,0.820217,0.826314,-0.944428,-1.82726,-1.83167,-2.60951,-1.34642
0.301859410,-559.063,-29.8882,2.97713,-9.24298,-0.860517,-7.94392,-5.5199,-1.51193,-5.61751,-0.629857,-4.47757,3.41802,1.30473,2.92416,1.15485,0.633859,-0.405006,0.44876,-2.53569,-1.13388,-2.41673
