TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0,0,0,0,0,0,0,0,0,0,0,0
0.464399093,0,0,0,0,0,0,0,0,0,0,0,0
0.510839002,0,0,0,0,0,0,0,0,0,0,0,0
0.557278912,0,0,0,0,0,0,0,0,0,0,0,0
0.603718821,0.071597,0.208422,1.49946,1.43084,0.0234503,0.267277,0.0039026,2.23748,0.598359,0.307819,0.113735,0.681729
0.650158730,0.0261283,0.297106,1.54901,1.89957,0.0338345,0.0689088,0.0856436,2.3109,0.251588,0.388126,0.0931611,0.301672
0.696598639,0,0.212115,1.29807,2.13222,0.0364604,0.0220365,0.139428,2.0896,0.598447,0.350368,0.102795,0.327626
0.743038549,0,0.0535291,1.00408,2.36983,0.0843798,0.0344815,0.12046,1.95615,0.804118,0.329232,0.112024,0.400079
0.789478458,0.0164143,0.000800146,0.851341,2.48014,0.0982716,0.131815,0.0843471,1.87426,0.776389,0.345574,0.103807,0.466158
0.835918367,0.159088,0.0217293,0.939258,2.56871,0.0445923,0.157269,0.189636,1.86443,0.816629,0.260304,0.0331502,0.181777
0.882358277,0.265544,0.00907473,0.755061,2.59808,0.232204,0.0256904,0.367898,2.07569,0.923937,0.00301091,0.48014,0.0980348
0.928798186,0.0272245,0.0017041,0.363037,2.41027,0.168745,0.0229655,0.259094,2.34893,0.669427,0.0171882,0.138221,0.10862
0.975238095,0.156989,0,0.86079,1.71229,0.118322,0.343332,0.0696786,2.15606,0.674137,0.339369,0.168562,0.391755
1.021678005,0.210487,0.0625588,1.39524,1.33724,0.42043,0.630832,0.0569232,2.05961,0.449751,0.196437,0.0169877,0.159528
1.068117914,0.350225,0.0121508,1.74443,0.994431,0.535494,0.476738,0.0532764,1.88299,0.349112,0.024657,0.00574727,0.142693
1.114557823,0.512558,0.0173362,1.96217,0.748419,0.400605,0.188959,0.0467067,1.58592,0.459036,0.164819,0.00436862,0.12493
1.160997732,0.429396,0.0325302,1.77693,0.917211,0.443117,0.247165,0.0016128,1.84677,0.334752,0.146729,0.0215895,0.136649
1.207437642,0.240077,0,1.63971,1.14116,0.360713,0,0.0706386,1.97919,0.123372,0.281863,0.283563,0.0753148
1.253877551,0.292077,0.0940415,1.77407,1.05273,0.545248,0.00483081,0.0243664,1.84746,0.163925,0.0908326,0,0.0416678
1.300317460,0.226013,0.465059,1.73168,1.11675,0.693509,0.0183758,0.108051,1.87901,0.130942,0.0328213,0.0570808,0.0737357
1.346757370,0.123448,0.625758,1.63693,1.2639,0.684693,0.00304333,0.225045,1.75887,0.0915199,0.163775,0,0.057371
1.393197279,0.150099,0.422206,1.64938,1.52502,0.376552,0.00116088,0.407763,1.66817,0.0937139,0.611748,0,0.0308005
1.439637188,0.108263,0.068161,1.4249,1.82797,0.0537676,0.273382,0.324443,1.90974,0.166374,0.44399,0.0531464,0.104466
1.486077098,0.108201,0.133392,0.913574,1.83087,0.284867,0.254986,0.0114569,2.26089,0.274961,0,0.144429,0.482298
1.532517007,0.0129928,0.280666,0.441319,2.02274,0.5884,0.109372,0.0503243,2.40045,0.191719,0,0.218194,0.491041
1.578956916,0.0217832,0.283637,0.256363,2.12293,0.757873,0.0796759,0.0638019,2.49737,0.0185635,0.0118054,0.18018,0.201164
1.625396825,0.00657579,0.241619,0.33481,2.01279,0.583453,0.145381,0.0677233,2.80276,0,0.168025,0.128241,0.108114
1.671836735,0.0416079,0.152639,0.75796,1.79227,0.426836,0.506126,0.0387021,2.69731,0.127068,0.10984,0.0575856,0.283299
1.718276644,0.0032158,0.163096,1.01706,1.38937,0.40211,0.0579609,0.0163663,2.53682,0.140644,0.178833,0,0.520793
1.764716553,0.0107083,0.130491,0.949358,1.60721,0.469199,0.2446,0.0315248,2.36176,0.436324,0.250668,0,0.665663
1.811156463,0.0430539,0.223107,0.649271,2.063,0.327905,0.221687,0.0278057,2.16702,0.509425,0.576366,0.0469171,0.601582
1.857596372,0.0569755,0.309289,0.54902,2.18683,0.322997,0.0319027,0.0288425,2.13361,0.578831,0.684527,0.0314998,0.430073
1.904036281,0.0555648,0.462297,0.553431,2.30949,0.365456,0.0274249,0.349978,1.8905,0.684721,0.678911,0.0873429,0.0538356
1.950476190,0.653973,0.337036,0.336111,2.20102,0.0552139,0.0706997,0.0693386,1.63535,0.216859,0.215581,0.0891354,0.332224
