TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-647.36,-17.1709,6.92433,-12.015,4.48005,-0.0730142,0.201275,0.787215,-0.0341443,3.38535,0.267889,-0.179581,1.66733,1.89659,2.46337,4.64675,0.0300029,-0.416435,-3.58297,-1.771,-0.519833
0.023219955,-518.65,1.09484,19.5554,3.38773,13.1767,9.81565,8.60907,6.15207,4.3983,5.05559,2.22528,3.27873,2.17219,2.55267,0.119701,0.8756,0.406925,2.44233,-1.02679,0.842445,1.24535
0.046439909,-517.052,1.87,19.8554,3.22949,15.0062,8.47055,9.24418,5.50184,4.67206,7.48391,2.29003,2.41698,1.33981,2.43741,-0.301804,1.31002,2.45922,1.97374,-0.61252,-0.110082,0.987208
0.069659864,-521.013,-0.283911,23.0479,4.38078,15.6057,8.62556,9.64088,6.09407,4.27108,7.36326,1.99638,4.10058,1.60593,3.1369,0.353392,1.90277,0.271561,-0.219525,-0.232423,-0.282698,0.318346
0.092879819,-522.309,2.08723,22.01,6.79185,13.327,10.3341,10.4709,7.17363,3.65769,7.79066,2.42412,3.28835,-1.52476,3.2983,0.343756,4.47753,-0.363845,1.41342,0.445282,0.119123,0.997467
0.116099773,-524.823,1.67319,23.4334,7.52878,16.8619,13.2396,10.7643,5.53846,5.161,5.32525,2.81468,4.06157,0.902885,3.64839,-0.448172,1.91177,0.690006,1.33739,0.0843407,-0.709345,2.34674
0.139319728,-518.671,4.54117,31.17,8.27662,17.3404,12.8052,15.0489,7.18855,2.63544,6.88386,3.46562,5.79914,-0.820333,0.791426,0.234861,1.27738,1.1188,1.14956,0.290724,1.66591,-0.560166
0.162539683,-506.976,14.7832,37.4157,13.9199,18.1535,13.4553,11.1548,6.9357,3.98729,7.02377,2.22134,2.80545,0.331987,1.45689,0.787435,1.14115,-0.377995,-0.0981563,-0.408279,-0.0187563,-0.17401
0.185759637,-512.422,10.8244,37.6706,19.0096,23.1019,16.4982,10.5774,6.06785,2.51872,4.6943,1.86546,4.53316,1.30364,2.07436,0.473989,2.17075,0.932795,1.82269,2.9153,2.18181,-0.120872
0.208979592,-506.602,14.7805,39.904,14.8685,21.845,14.1618,13.362,7.72906,2.96773,7.16396,3.59479,2.649,-0.706934,0.876737,0.653345,1.68908,0.403461,-0.0400992,-0.522755,1.27587,-2.77114
0.232199546,-500.944,18.6902,39.53,17.5927,22.184,14.5178,10.0194,8.16792,4.94338,5.8024,-0.233976,3.50214,0.322351,1.39369,1.07455,1.7372,1.483,2.70821,0.929131,1.26723,-0.458942
0.255419501,-497.072,21.2708,37.9739,13.618,20.1232,13.7197,10.866,9.08327,4.60443,5.14027,1.4119,3.79576,-0.46197,1.50969,1.44408,1.50919,0.440552,2.41762,2.86461,3.18159,-0.432944
0.278639456,-494.829,23.7862,35.6493,13.3222,19.5105,12.9567,11.9127,6.95812,4.89092,6.43415,0.471434,0.894647,-1.55134,1.01469,-0.574059,0.678809,3.79929,5.41891,3.02464,1.49691,1.22384
0.301859410,-486.552,27.3677,33.8836,11.486,20.0181,13.0331,13.921,7.44326,5.54201,3.98239,0.165826,1.15813,-0.901598,0.324607,-1.73111,1.73656,0.539273,3.21374,0.331272,3.92799,1.05975
0.325079365,-479.254,30.9251,31.6803,10.0589,20.162,13.1047,10.6727,9.71399,6.03877,4.46912,0.240662,2.92456,-3.56706,0.580202,-1.83466,1.56138,-0.678531,1.02568,-0.345222,1.31295,1.66268
0.348299320,-476.544,32.7324,30.9618,10.5589,17.3184,14.2883,9.39252,11.5036,3.95033,5.44374,-0.93371,3.00627,-0.142483,1.21899,1.46164,-0.168612,1.94302,3.37243,2.67368,2.45839,1.74217
0.371519274,-471.016,34.6104,30.4933,10.2104,20.1359,12.5732,8.40685,12.2024,5.40825,5.989,2.144,3.28807,-3.21617,0.0997127,-0.475769,-1.52271,-0.828931,2.67463,2.19009,2.00794,1.50391
