TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0.114765,0.330971,0.0344672,2.49986,0.663955,0.96655,0.467595,1.77961,0.203796,0.389944,1.55183,0.274698
0.092879819,0.0175729,0.119175,0.150262,2.08203,0.623514,1.12145,0.543888,1.57074,0.321415,0.312382,1.43417,0.57812
0.139319728,0,0.10334,0.259186,1.95644,0.529335,0.836502,0.553639,1.05679,0.333548,0.2582,1.43192,0.749087
0.185759637,0,0.193009,0.131741,1.98649,0.589766,0.872972,0.578967,1.10808,0.0956657,0.32576,1.67624,0.187938
0.232199546,4.58147e-05,0.270509,0.0844943,1.94127,0.502731,1.16069,0.560418,1.26491,0.109728,0.49113,1.58934,0.0690409
0.278639456,0.170866,0.230071,0.116933,2.01625,0.403157,1.2295,0.534103,1.17709,0.213776,0.551554,1.17728,0.11669
0.325079365,0.151415,0.202142,0.150761,2.00539,0.301456,1.12858,0.440738,1.16804,0.255261,0.589869,1.06364,0.14093
0.371519274,0.168943,0.315287,0.122495,2.1794,0.139708,1.19006,0.493297,1.24097,0.243291,0.507638,0.96081,0.121084
0.417959184,0.148206,0.353862,0.26588,2.19098,0.218835,1.04319,0.485914,1.30035,0.205074,0.318253,0.801307,0.0627533
0.464399093,0.0703965,0.300603,0.285173,2.24772,0.460603,0.953361,0.356992,1.41919,0.232718,0.198346,0.748302,0.0934545
0.510839002,0.0962942,0.274025,0.219411,2.22329,0.607967,1.15632,0.26416,1.602,0.212229,0.156157,0.836217,0.156258
0.557278912,0.112058,0.455566,0.0733592,2.15845,0.807685,1.20189,0.257885,1.68458,0.116801,0.113655,0.900798,0.101263
0.603718821,0.0957386,0.494194,0.0305768,2.03904,0.889405,1.03405,0.342203,1.62957,0.0948222,0.129982,1.00508,0
0.650158730,0.0739534,0.504294,0.0332835,1.96909,0.842188,0.973462,0.382727,1.4655,0.103652,0.17879,1.22976,0.0973768
0.696598639,0.106037,0.34682,0.0466411,2.05386,0.849104,0.931761,0.414712,1.36087,0.161703,0.183426,1.38918,0.231115
0.743038549,0.142447,0.275876,0.0122533,2.3429,0.837915,0.894934,0.416362,1.46555,0.156553,0.201132,1.37727,0.294472
0.789478458,0.0980006,0.300687,0.0276003,2.24156,0.628067,0.779824,0.449417,1.69855,0.189206,0.181986,1.65635,0.320469
0.835918367,0.0914399,0.404604,0.00284991,2.39767,0.609595,0.974326,0.424909,1.78015,0.154012,0.175597,1.48708,0.126547
0.882358277,0.0971419,0.449937,0.000545566,2.49971,0.597781,1.07795,0.368519,1.83818,0.0900867,0.20886,1.24798,0.0480506
0.928798186,0.112031,0.440599,0.0197669,2.52675,0.605168,0.887258,0.408282,2.01693,0.0782873,0.253113,1.24144,0.0156312
0.975238095,0.112839,0.407777,0.188665,2.46731,0.483287,0.629373,0.447184,1.94468,0.126836,0.321226,1.32449,0.0622259
1.021678005,0.0717244,0.342655,0.304077,2.55956,0.386173,0.493449,0.44421,1.80489,0.162827,0.32995,1.30619,0.216125
1.068117914,0.0443974,0.341528,0.282253,2.33946,0.45373,0.64917,0.418043,1.84141,0.142436,0.323142,1.28443,0.350067
1.114557823,0.0211411,0.419942,0.189643,2.3533,0.517547,0.685845,0.408627,1.99523,0.0992207,0.329099,1.24899,0.32407
1.160997732,0.0037648,0.483711,0.163455,2.35224,0.483245,0.700435,0.422897,2.13472,0.0557958,0.284809,1.28915,0.184406
1.207437642,0,0.517696,0.192476,2.34228,0.471493,0.682365,0.431409,2.03391,0.080798,0.354113,1.38795,0.102349
1.253877551,0,0.495401,0.263172,2.3875,0.529595,0.646787,0.404993,1.69553,0.152097,0.382548,1.29164,0.128521
1.300317460,0,0.445639,0.306331,2.44134,0.546309,0.622896,0.476702,1.56432,0.187926,0.346996,1.10083,0.0162097
1.346757370,0.0233527,0.510448,0.296304,2.50597,0.467593,0.599396,0.487965,1.62118,0.292913,0.349349,0.997829,0
1.393197279,0.0271709,0.549129,0.234486,2.49998,0.373943,0.78775,0.474745,1.86232,0.423258,0.322109,0.97456,0.0269291
1.439637188,0.00557674,0.614775,0.210209,2.44868,0.361442,0.929028,0.507878,2.00945,0.365495,0.316754,0.862567,0.0969641
1.486077098,0,0.669342,0.196174,2.38133,0.408399,0.843297,0.560105,2.02451,0.0980328,0.313165,1.03313,0.0886442
1.532517007,0,0.657915,0.217905,2.36829,0.414897,0.684108,0.577929,1.94275,0.0638662,0.293096,1.27593,0.0412218
1.578956916,0,0.657081,0.184275,2.29604,0.474996,0.64635,0.599594,1.71859,0.048061,0.351545,1.33281,0
1.625396825,0,0.679819,0.177103,2.21313,0.512672,0.589919,0.631229,1.47544,0.0428136,0.376583,1.34395,0
1.671836735,0.0257379,0.695118,0.174342,2.32099,0.505251,0.375925,0.642597,1.39817,0.0370871,0.350566,1.39599,0
1.718276644,0.0543222,0.683878,0.175469,2.62531,0.426722,0.402898,0.639542,1.30766,0.0439742,0.322729,1.48465,0
1.764716553,0.0701,0.704948,0.192724,2.805,0.346895,0.522386,0.633736,1.31091,0.0454466,0.291011,1.62397,0.0583569
1.811156463,0.0718769,0.735074,0.229822,2.67018,0.282722,0.597731,0.667811,1.44117,0.060692,0.276904,1.52481,0
1.857596372,0.0594229,0.707609,0.22887,2.38282,0.287208,0.655564,0.699004,1.55899,0.0564564,0.323911,1.48016,0
1.904036281,0.0493279,0.63839,0.193017,2.4835,0.336436,0.582942,0.701234,1.66267,0.0318691,0.342382,1.48296,0.0208822
1.950476190,0.0410805,0.573382,0.176872,2.65405,0.410903,0.601389,0.632715,1.61635,0.0380638,0.414921,1.40586,0
1.996916100,0.00725156,0.67608,0.583079,1.76327,0.376772,0.510676,0.545995,1.66444,0.0498285,0.565368,1.51761,0.180334
2.043356009,0.0150258,1.15392,0.559996,1.56639,0.487135,0.182976,0.533609,1.42587,0.0128806,0.789838,0.942526,0.275633
2.089795918,0,1.38901,0.42192,1.90906,0.43751,0.270799,0.520981,1.03491,0,0.892341,1.02939,0.328778
2.136235828,0,1.35244,0.279226,2.72085,0.276588,0.232318,0.554383,0.516662,0,0.861281,1.65909,0.319637
2.182675737,2.97095e-05,1.05209,0.067426,3.44121,0.0312358,0.301255,0.610942,0.612051,0.0114834,0.703279,1.99031,0.269816
2.229115646,0,0.641517,0.0076193,3.96886,0.0332472,0.610142,0.635209,1.00422,0.156382,0.541542,1.64117,0.111685
2.275555556,0,0.271749,0.719354,3.23915,0.0308732,0.823729,0.456716,1.90883,0,0.425029,1.58779,0.0395059
2.321995465,0,0.289102,0.917765,2.53925,0.02732,0.91548,0.267772,2.7647,0,0.525853,1.39608,0.252716
2.368435374,0,0.224131,0.783221,2.50832,0.020447,0.762737,0.157425,3.09721,0.00384136,0.744884,1.15431,0.389121
2.414875283,0,0.271358,0.662246,2.4835,0.00207695,0.515906,0.0826725,3.22398,0.00675579,0.664909,1.01011,0.44247
2.461315193,0,0.428344,0.692966,2.32015,0.00259142,0.258361,0.0652548,3.18361,0.0357519,0.516193,1.12155,0.225159
2.507755102,0.000105159,0.517105,1.47541,1.58439,0.0288523,0.241059,0.020322,3.11897,0,0.394687,1.16166,0.120265
2.554195011,7.33051e-05,0.452218,1.84758,1.33031,0.0282527,0.482811,0,2.89368,0.0454273,0.438417,0.984139,0.217928
2.600634921,0,0.394251,2.25308,0.967416,0.0287734,0.5107,0,2.73307,0.0846553,0.5519,1.0472,0.245982
2.647074830,0,0.290299,2.61373,0.487042,0.0373035,0.417514,0.121272,2.70114,0.0471261,0.844467,1.20305,0.115794
2.693514739,0.06834,0.294724,2.794,0.688625,0.0592712,0.215739,0.536342,2.50234,0.0741393,1.01853,1.13757,0.155364
2.739954649,0.102836,0.351023,3.20617,0.954373,0.0953395,0.195165,0.53765,1.91083,0.0298815,0.969481,1.16988,0.192596
2.786394558,0.0848636,0.322184,3.2318,0.760358,0.107451,0,0.613532,1.57238,0.00302091,1.02873,1.43601,0.0834869
2.832834467,0.025626,0.131918,3.06444,1.24203,0.106129,0.129625,0.785794,1.58487,0.0223962,1.20115,1.26195,0.0499278
2.879274376,0.030918,0.089785,2.90773,1.39504,0.112083,0.0777885,0.959323,1.5698,0.0739611,1.25837,1.20515,0.0662692
2.925714286,0.0348361,0.0375414,3.05878,1.41957,0.113281,0,1.07768,1.52125,0.0424577,1.13433,1.21271,0.00293173
2.972154195,0.0361842,0,3.2522,1.27729,0.157909,0,1.07472,1.40343,0.0705696,1.05388,1.26265,0.0135254
3.018594104,0.0330255,0,3.3825,1.22861,0.130317,6.42718e-05,1.14055,1.20909,0.0690015,1.12052,1.28069,0.0213992
3.065034014,0.0158532,0.0140924,3.15611,1.46968,0.0931337,0.139638,1.00813,1.22792,0.04196,1.40698,1.05482,0
3.111473923,0.000382688,0.0955375,2.70694,1.62445,0.0363396,0.29236,0.906641,1.41339,0,1.54947,1.07828,0
3.157913832,0.000272196,0.0828829,2.63693,1.4561,0.0430534,0.31477,0.990852,1.68952,0,1.51889,1.15794,0.00328476
3.204353741,0,0.071081,2.63824,1.59409,0.0645341,0.282129,1.07542,2.06616,0,1.45603,1.15177,0.137596
3.250793651,0,0.0610246,2.54314,1.84205,0.0811516,0.203788,1.00305,2.51078,0.00278982,1.23697,1.05981,0.491556
3.297233560,0.278545,0.0304248,2.40283,2.03564,0.10353,0.216548,0.895175,2.64678,0.00729783,0.909481,0.735243,0.814913
3.343673469,1.66605,0.0474244,2.29026,1.72893,0.135839,0.0785185,0.566205,2.08508,0.0022982,0.533487,1.01811,0.876044
3.390113379,2.39976,0.0315994,2.15031,1.38821,0.138814,0.140375,0.574223,1.57279,0,0.528256,1.20073,0.745652
3.436553288,2.63796,0.044693,1.92505,1.21999,0.127054,0.19906,0.523356,1.57914,0.0587056,0.58885,1.08027,0.533938
3.482993197,2.72512,0.139579,1.62796,1.40746,0.135715,0.0899954,0.394207,2.13205,0,0.511976,0.777015,0.288522
3.529433107,2.73985,0.177504,1.3791,1.42047,0.260952,0.0916502,0.16543,2.6439,0,0.321005,0.712081,0.246156
3.575873016,2.54485,0.177636,1.0747,1.26642,0.344491,0.045642,0,2.68072,0.0449448,0.160721,0.784472,0.265458
3.622312925,2.17759,0.180169,0.766791,0.781301,0.835922,0,0.0221934,2.50898,0.0586242,0.00706006,1.5354,0.286216
3.668752834,2.04998,0.180411,0.597148,0.742362,1.09236,0.0187053,0.0276117,2.28555,0.0668553,0.00536213,1.91711,0.294783
3.715192744,2.1505,0.294579,0.594636,1.17931,1.12418,0.00230411,0.0780998,2.26447,0.0845614,0.0022215,1.62929,0.198029
3.761632653,2.14357,0.370247,0.535477,1.49761,0.810366,0.165993,0.048509,2.24437,0.0423758,0,1.44878,0.224905
3.808072562,2.38989,0.377816,0.657305,2.09466,0.506197,0.236476,0.0497957,1.78508,0.00461515,0,1.35823,0.0998808
3.854512472,2.66136,0.256218,0.569664,2.27066,0.292843,0.188434,0.0687528,1.54091,0.195024,0.0558188,1.46882,0.00165026
3.900952381,2.82985,0.185928,0.583573,1.68882,0.165841,0.0956966,0.0970147,2.20911,0.0500032,0.211519,1.617,0
3.947392290,2.82441,0.176838,0.690838,1.43618,0.0338395,0.0436665,0.035176,2.79404,0.0291519,0.381875,1.42673,0.0538202
