TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-716.628,-19.7064,8.11411,5.87022,7.88344,2.10309,-0.835547,-0.254603,-3.22671,-3.32173,3.02332,4.25363,1.11341,-1.46591,-0.526506,2.13919,3.38094,3.36688,2.39621,-0.488152,-0.913982
0.023219955,-593.203,-0.885553,-21.8875,8.34321,-4.20616,-5.39691,0.0097172,-1.69983,-2.69332,-1.99768,-1.76935,-2.83921,4.69579,3.14929,1.66528,2.80467,0.166119,1.18208,-2.75479,2.49652,1.21202
0.046439909,-455.549,22.4008,-20.4603,5.66917,-12.5628,-10.701,-8.04018,-5.04833,-7.42647,-3.54445,-0.465421,-1.2941,4.31406,7.70433,1.54091,4.32611,2.05295,1.07503,-5.04669,4.05148,7.79656
0.069659864,-413.762,21.6951,-21.519,8.3457,-11.7247,-8.37606,-9.05781,-5.52553,-5.25057,-0.987526,-1.28869,-1.09193,6.2144,8.75993,3.0312,5.35829,1.74043,1.71475,-4.90272,5.05968,9.07541
0.092879819,-394.548,22.9601,-19.6378,8.14279,-9.75256,-8.20318,-5.76668,-5.06914,-7.54475,-1.07095,0.481405,-0.530323,8.00197,9.37883,3.42623,5.81756,1.96597,1.70904,-5.00247,3.73359,10.5276
0.116099773,-384.013,21.6769,-22.0653,5.41371,-13.4192,-9.84071,-9.41711,-7.40348,-8.2275,-1.71682,-1.33692,-2.94482,5.42232,8.96933,2.02823,3.81918,2.43486,1.57052,-6.39715,4.54655,9.56477
0.139319728,-369.955,25.3877,-19.8232,9.26849,-7.73376,-6.14555,-7.05475,-5.35552,-5.63085,-0.822184,0.00365378,-1.37745,8.39007,10.5951,3.54051,5.50531,0.765925,0.865087,-5.29486,3.92216,10.1309
0.162539683,-360.406,24.2177,-20.0374,8.59633,-12.2898,-6.81475,-6.02903,-6.7857,-6.60487,-1.68564,-0.286105,0.171546,6.21002,7.76774,3.91064,5.52724,1.58293,0.410828,-5.16704,6.52449,7.71061
0.185759637,-354.951,23.1706,-22.5991,8.35437,-8.20829,-8.87555,-8.6017,-6.35301,-7.82928,-2.5875,-2.13438,-1.03953,6.93401,10.0482,3.46204,5.30175,0.810224,0.154161,-5.24704,4.2075,11.0445
0.208979592,-343.446,24.8231,-19.4797,9.82282,-8.80449,-6.42534,-6.80488,-4.94042,-5.54331,0.243979,0.0596847,-0.501929,7.66181,9.95171,3.81101,5.41755,3.25218,1.39728,-5.20785,5.82304,8.71763
