TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.0568053,1.43325,0.00557056,0.118452,0,1.2398,0.0901579,0.0109775,1.8556,0.167279,0.0783083,0
0.046439909,0.06231,1.46691,0.0907686,0.136503,0,1.10636,0.156824,0,1.68689,0.12215,0.0915151,0
0.092879819,0.0632921,1.45162,0.112739,0.127995,0,1.03481,0.188483,0,1.5856,0.0975769,0.0100678,0
0.139319728,0.0599887,1.46078,0.0108218,0.115079,0,1.00557,0.224648,0,1.5552,0.112365,0,0
0.185759637,0.0557443,1.471,4.09044e-05,0.106248,0,1.00925,0.267226,0,1.48392,0.109883,0,0
0.232199546,0.0574155,1.57317,0.000683427,0.100161,0,0.932269,0.174308,0,1.34248,0.094981,0,0
0.278639456,0.0556347,1.68129,0,0.100017,0,0.809591,0.0705433,0,1.18971,0.158008,0,0
0.325079365,0.0529148,1.79549,0.0340957,0.125545,0,0.784548,0.0351233,0,1.15789,0,0,0
0.371519274,0.0509677,1.81964,0,0.156621,0,0.864325,0.0289208,0.016664,1.30547,0,0,0
0.417959184,0.0598679,1.8841,0,0.159702,0,0.915666,0.00378031,0.024358,1.34564,0,0.13017,0
0.464399093,0.0701287,1.89107,0,0.139221,0,0.919036,0.00664262,0.0290524,1.27703,0.0048391,0.323492,0
0.510839002,0.0712149,1.8273,0,0.125647,0.0086775,0.956128,0.0128931,0.0334889,1.32404,0.0428819,0.141493,0
0.557278912,0.0702568,1.74038,0,0.118145,0.0296454,0.999729,0.0192068,0.0386154,1.39185,0.132937,0,0
0.603718821,0.0691741,1.70403,0,0.12454,0.0376166,1.00504,0.0256522,0.0434579,1.39207,0.13517,0,0
0.650158730,0.067105,1.70645,0.0012647,0.153282,0.0303253,0.941245,0.0316291,0.0434621,1.33972,0.0223288,0,0
0.696598639,0.0531934,1.68227,0.00959588,0.156428,0.016204,0.829552,0.0435857,0.041901,1.26667,0.12668,0,0
0.743038549,0.0534582,1.68839,0.0276501,0.156481,0.0104279,0.841675,0.055233,0.00699986,1.22635,0.0472793,0.00424011,0
0.789478458,0.0667013,1.82393,0.0181868,0.156432,0.00837621,0.916601,0.0338161,0,1.23892,0,0.130676,0
0.835918367,0.0758896,1.79717,0.00431583,0.11161,0.0158222,1.05212,0.0500562,0.088705,1.33914,0,0.103813,0
0.882358277,0.0737202,1.7798,0,0.0746214,0.0242757,1.05996,0.0574093,0.094762,1.40603,0,0,0
0.928798186,0.0695254,1.78984,0,0.139834,0.0230236,0.965049,0.0563622,0.0886189,1.4299,0,0,0
0.975238095,0.0659591,1.78301,0,0.207099,0.0121778,0.912618,0.0543745,0.0508308,1.41248,0,0,0
1.021678005,0.0709896,1.79886,0,0.216481,0.006962,0.878111,0.0495466,0.0619426,1.34919,0.0241132,0,0
1.068117914,0.0766973,1.85969,0,0.155811,0.0148041,0.90198,0.0388793,0.0744547,1.21592,0,0,0
1.114557823,0.0817837,1.89564,0.00288968,0.106272,0.0413369,0.940029,0.0303238,0.054138,1.11254,0,0,0
1.160997732,0.0806279,1.93724,0.00835118,0.0728949,0.0557619,0.956288,0.0235436,0.0535138,1.27665,0,0,0
1.207437642,0.0680162,1.90303,0.00885433,0.0675906,0.0558985,1.01752,0.0204066,0.0547238,1.38817,0,0,0
1.253877551,0.0564792,1.83611,0.00429337,0.0925422,0.0434928,1.07412,0.0178857,0.106316,1.3943,0,0,0
1.300317460,0.0319263,1.82426,0.00250452,0.143548,0.0296582,1.09231,0.0168907,0.162579,1.37048,0,0,0
1.346757370,0.0305908,1.8057,0.00589718,0.169022,0.0310414,1.06951,0.0172971,0.138241,1.31817,0,0.000113705,0
1.393197279,0.0421847,1.80219,0.00645747,0.129722,0.033978,0.958784,0.0129179,0.0430622,1.20943,0.0494904,0.000122405,0
1.439637188,0.0658828,1.86383,0.00168925,0.104524,0.0338507,0.748537,0.00486795,0,1.05634,0.0367848,0.000131522,0
1.486077098,0.0828296,1.93151,0.00194366,0.11302,0.0300009,0.663483,0.00324952,0,0.944656,0.0205709,0,0
1.532517007,0.0633879,1.92293,0.00209614,0.104403,0.0273947,0.722224,0.00464449,0,1.00183,0,0,0
1.578956916,0.0261292,1.80999,0.00260369,0.114586,0.0265191,0.939525,0.00539172,0.00587477,1.17122,0,0,0
1.625396825,0.01103,1.75687,0.00332046,0.155508,0.0163652,1.13239,0.0054587,0.0147344,1.35256,0,0,0
1.671836735,0.013805,1.72205,0.00419754,0.180071,0.0160543,1.21819,0.00418363,0.0310732,1.50232,0,0,0
1.718276644,0.00983527,1.72267,0.00474289,0.132971,0.0114616,1.15441,0.00745959,0.0405533,1.48824,0,0,0
1.764716553,0.0134439,1.78039,0.00387084,0.133035,0.0369904,1.05119,0.00580464,0.02385,1.29871,0,0,0
1.811156463,0.00419311,1.74483,0.00326234,0.159629,0.0317288,1.15834,0.00494134,0.0292567,1.35547,0,0,0
1.857596372,0.00624397,1.7271,0.00422811,0.173088,0.0275804,1.24976,0.00322138,0.0659084,1.46501,0,0,0
1.904036281,0.0004562,1.72095,0.00512617,0.133905,0.0215081,1.18242,0.00543844,0.154641,1.47998,0,0,0
1.950476190,0.0125843,1.75135,0.00414172,0.11049,0.00833497,1.06884,0.00597942,0.145865,1.38457,0,0,0
1.996916100,0.000454643,1.83171,0.00330402,0.14188,0.0153652,1.12981,0.00549603,0.0824369,1.45081,0,0,0
2.043356009,0.00275169,1.82013,0.00395135,0.166064,0.0285063,1.21063,0.00379733,0.0866743,1.54124,0,0,0
2.089795918,0.00267233,1.8357,0.0050647,0.146825,0.036051,1.14493,0.00438681,0.109351,1.49129,0,0,0
2.136235828,0.0168051,1.8932,0.00400838,0.136812,0.0369983,1.0454,0.00543192,0.0605803,1.25778,0,0,0
2.182675737,0.00722979,1.7959,0.00303878,0.140639,0.0329912,1.13532,0.00428205,0.0403126,1.40438,0,0,0
2.229115646,0.00744299,1.7212,0.00366369,0.156552,0.0474254,1.22392,0.00191083,0.0560779,1.50702,0,0,0
2.275555556,0.010027,1.68156,0.00530241,0.107711,0.0510338,1.16322,0.00565708,0.0618582,1.52585,0,0,0
2.321995465,0.0253431,1.72163,0.00478493,0.106567,0.036122,1.06789,0.0192293,0.0208873,1.35059,0,0,0
2.368435374,0.0360312,1.81939,0.00373954,0.174551,0.0103304,1.13332,0.00423692,0.0173277,1.30863,0,0,0
2.414875283,0.040252,1.79317,0.0043128,0.195331,0.00839566,1.22512,0.00185135,0.0445804,1.48386,0,0,0
2.461315193,0.0324152,1.78838,0.00580158,0.132458,0.0140508,1.185,0.0022289,0.076977,1.57859,0,0.000425068,0
2.507755102,0.0244085,1.85889,0.00551349,0.0682403,0.0178858,1.10435,0.00442854,0.079429,1.41437,0,0.00027962,0
2.554195011,0.0318136,1.95462,0.00414566,0.0703427,0.0287074,1.03852,0.00625922,0.0422169,1.04977,0,4.26446e-05,0
2.600634921,0.0267045,2.00375,0.0039767,0.106206,0.0273371,1.01064,0.00765206,0.0507304,0.900481,0,2.24293e-05,0
2.647074830,0.0297811,2.0223,0.00423517,0.120446,0.026207,1.02862,0.00771002,0.0682095,0.867578,0,0,0
2.693514739,0.0403275,1.99692,0.00461099,0.11106,0.029322,1.04694,0.00851543,0.0682805,0.859794,0,0,0
2.739954649,0.0397037,1.96631,0.00485615,0.0890866,0.0377939,1.05672,0.00619858,0.077738,0.866115,0,0,0
2.786394558,0.0270461,1.92598,0.00499765,0.0707282,0.0375755,1.05422,0.00468405,0.0639024,0.907815,0,0,0
2.832834467,0.0193077,1.90928,0.00532092,0.0705454,0.0384827,1.04524,0.00426999,0.0554093,0.928734,0,4.48222e-05,0
2.879274376,0.918712,1.85348,0.0696748,0.0912644,0.152097,1.01309,0.0755158,0,0.952689,0.0406029,0.0328418,0.0819823
2.925714286,1.0156,1.17393,0.1941,0.293787,0.114179,1.42663,0.0818217,0.022146,0.922582,0.635987,0.209499,0.177659
2.972154195,1.01693,0.649995,0.289146,0.69601,0.149177,1.73957,0.0815409,0,0.833606,0.829396,0.306627,0.318159
3.018594104,1.03002,0.532888,0.205262,0.97337,0.205497,1.99867,0.234093,0.0442125,0.898686,0.831046,0.0360869,0.49967
3.065034014,1.12204,0.859879,0.0841531,0.989056,0.24668,1.59684,0.382825,0.0619022,0.833714,0.679571,0.00137709,0.557656
3.111473923,1.20922,1.52896,0.00409775,0.572292,0.422465,1.04848,0.506776,0.0200328,0.924429,0.325651,0.00873621,0.348785
3.157913832,0.129555,2.55737,0.70329,0,0.373818,0.156262,0.351344,0.504559,1.2752,0.435714,0.15757,0.479125
3.204353741,0.0493778,2.21489,0.71447,0.266947,0.361024,0.110134,0.274791,0.741175,0.758543,0.462341,0.467064,0.774025
3.250793651,0.0270676,2.14865,0.68964,0.239218,0.333946,0.0776121,0.294316,0.851116,0.982176,0.312968,0.724359,0.822661
3.297233560,0.0510101,2.01795,0.583261,0.238247,0.416613,0.0739277,0.391401,0.721085,1.12099,0.209698,0.890876,0.525298
