Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0MlGhtrKnJXjuaJQLeRd7l,"Ending","Yeule","yeule",2014-03-03,193750,28,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:45:33Z,"art pop","Yeule",0.651,0.57,5,-11.137,1,0.0388,0.67,0.807,0.0673,0.469,116.017,4
spotify:track:4hDrr5nchVciIcDfsF0ooY,"Heal","Yeule","yeule",2014-03-03,156875,27,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:45:33Z,"art pop","Yeule",0.561,0.649,0,-9.315,1,0.0371,0.278,0.0000283,0.224,0.36,114.99,4
spotify:track:3cZKNadVp6AFLAU18uNk08,"Impure","Yeule","yeule",2014-03-03,231500,24,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:45:33Z,"art pop","Yeule",0.546,0.513,7,-14.198,1,0.082,0.292,0.858,0.113,0.424,130.033,4
spotify:track:6QHodSUmy4jnHGYH9ypMmM,"Intermission","Yeule","yeule",2014-03-03,114000,26,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:45:33Z,"art pop","Yeule",0.282,0.491,7,-8.229,1,0.0329,0.00147,0.206,0.122,0.154,139.071,4
spotify:track:74PWvn7lf5hcCtKwxAL1q6,"Thoughts","Yeule","yeule",2014-03-03,229750,21,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:45:33Z,"art pop","Yeule",0.534,0.887,0,-9.088,1,0.0385,0.0561,0.867,0.448,0.496,135.927,4
spotify:track:2LyBW8K68UrY8rk6ivjewS,"Desire","Pathos","yeule",2016-12-11,278100,27,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:45:37Z,"art pop","Yeule",0.361,0.334,5,-13.569,1,0.0306,0.953,0.725,0.106,0.0773,126.118,4
spotify:track:6LiKDpnHCwuXBns2UPJ0na,"Tint","Pathos","yeule",2016-12-11,198009,23,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:45:37Z,"art pop","Yeule",0.594,0.646,0,-11.351,1,0.0378,0.914,0.162,0.0957,0.0708,120.042,4
spotify:track:79UDfrkh6Kede7xNb3hrzs,"Soul Catcher","Pathos","yeule",2016-12-11,329744,26,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:45:37Z,"art pop","Yeule",0.538,0.303,7,-14.567,1,0.0413,0.983,0.921,0.107,0.24,76.68,4
spotify:track:6TMEmVecFWGuOZoBBbxhc7,"Angel's Wings","Pathos","yeule",2016-12-11,245552,25,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:45:37Z,"art pop","Yeule",0.403,0.728,7,-13.519,1,0.0776,0.553,0.566,0.107,0.393,195.253,4
spotify:track:5GPAV4NrGqQZajJw5Z1SkX,"About Her","Pathos","yeule",2016-12-11,319452,33,false,31s5igdzjckv6yhkb2xaijjc5xqq,2026-02-16T08:45:37Z,"art pop","Yeule",0.371,0.511,0,-12.255,1,0.0489,0.816,0.398,0.253,0.125,119.99,4
